session_guid,session_start,config,lap_index,lap_number_raw,duration_ms,sample_count,max_speed,min_speed,avg_speed,max_lat_g,max_accel_g,min_accel_g,max_throttle,max_brake
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,0,1,135265,5256,56.29566955566406,19.674768447875977,41.111797891976806,0.204573392868042,0.2936198115348816,-0.3287385404109955,0.6506783366203308,5.931670188903809
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,1,2,138238,5256,53.58818817138672,19.910459518432617,40.06334014606621,0.20596204698085785,0.3249608874320984,-0.3333280682563782,0.6783998012542725,6.277271747589111
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,2,4,134654,5256,56.501338958740234,20.219009399414062,41.31836539969596,0.22314220666885376,0.2976051867008209,-0.30945515632629395,0.5990000367164612,6.240550994873047
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,3,6,134500,5256,56.68337631225586,19.516395568847656,41.41766507513084,0.22821393609046936,0.3582444190979004,-0.38844534754753113,0.6071658730506897,6.376976013183594
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,4,8,135200,5256,56.650447845458984,19.37468147277832,41.18624406935054,0.21985258162021637,0.31643936038017273,-0.3837931454181671,0.6540001630783081,6.0290961265563965
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,5,10,136016,5256,56.17219161987305,18.84280776977539,40.93963053563959,0.21091800928115845,0.3048156499862671,-0.3521198630332947,0.7029999494552612,6.035855293273926
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,6,12,134850,5256,56.535499572753906,19.641862869262695,41.228053925788565,0.2097427397966385,0.31560930609703064,-0.3853495121002197,0.7180001735687256,6.133137226104736
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,7,14,135940,5256,56.21632766723633,19.10765838623047,40.9499067157008,0.21894793212413788,0.3228236436843872,-0.3379988670349121,0.6619739532470703,6.362292289733887
983fe6a8-4800-4e1d-974a-40008092027a,2026-05-24 14:21:16,Full Course,0,1,138442,5256,54.68408203125,19.222110748291016,40.108803538608406,0.2057683914899826,0.2652052640914917,-0.31282129883766174,0.6171348094940186,3.3167335987091064
983fe6a8-4800-4e1d-974a-40008092027a,2026-05-24 14:21:16,Full Course,1,2,138484,5256,54.647918701171875,19.2197322845459,40.09137181495423,0.2206336110830307,0.28376317024230957,-0.35398462414741516,0.6169998645782471,3.398515462875366
983fe6a8-4800-4e1d-974a-40008092027a,2026-05-24 14:21:16,Full Course,2,4,138205,5256,55.17190933227539,19.14826774597168,40.13148180825162,0.21800614893436432,0.34406208992004395,-0.33455801010131836,0.5869705080986023,3.365710496902466
983fe6a8-4800-4e1d-974a-40008092027a,2026-05-24 14:21:16,Full Course,3,6,141035,5256,54.28607177734375,19.1377010345459,39.61145801123237,0.21335886418819427,0.2872605323791504,-0.3661292791366577,0.6820000410079956,3.427406072616577
983fe6a8-4800-4e1d-974a-40008092027a,2026-05-24 14:21:16,Full Course,4,8,138742,5256,55.430850982666016,18.293323516845703,40.11812269379196,0.22123026847839355,0.28083643317222595,-0.2932606637477875,0.5999969244003296,3.440709114074707
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2026-05-24 11:34:14,Full Course,0,1,136237,5256,57.34683609008789,19.303424835205078,41.10699822949855,0.2118476778268814,0.30335384607315063,-0.35728082060813904,0.44348573684692383,7.501977920532227
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2026-05-24 11:34:14,Full Course,1,2,136237,5256,57.35532760620117,18.895030975341797,41.04897781811893,0.20969730615615845,0.27466249465942383,-0.320774644613266,0.4529688060283661,7.638141632080078
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2026-05-24 11:34:14,Full Course,2,4,136037,5256,57.368675231933594,18.80325698852539,40.937349729886336,0.22456173598766327,0.3330628275871277,-0.38854846358299255,0.44335901737213135,7.524714946746826
